Título,Autor,Editorial,Fecha de publicación,Portada,Categorías,ISBN,Prestado a,Estado,Notas,Descripción
Grand Blue #03,Kenji Inoue,Ivrea Argentina,01.06.2023,https://mementoserver-hrd.appspot.com/blob/get?uid=4866587209498624&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,,978-84-19730-83-1,,Completado,,
Grand Blue #04,Kenji Inoue,Ivrea Argentina,01.10.2023,https://mementoserver-hrd.appspot.com/blob/get?uid=6103280512139264&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,,978-84-19916-18-1,,Completado,,
Grand Blue #05,Kenji Inoue,Ivrea Argentina,01.11.2023,https://mementoserver-hrd.appspot.com/blob/get?uid=6633853727014912&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,,978-84-10007-82-6,,Completado,,
Grand Blue #06,Kenji Inoue,Ivrea Argentina,01.03.2024,https://mementoserver-hrd.appspot.com/blob/get?uid=5104262998917120&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,,978-84-10113-79-4,,Completado,,
Grand Blue #07,Kenji Inoue,Ivrea Argentina,01.05.2024,https://mementoserver-hrd.appspot.com/blob/get?uid=6211925199552512&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,,978-84-10213-95-1,,Completado,,
Grand Blue #08,Kenji Inoue,Ivrea Argentina,01.07.2024,https://mementoserver-hrd.appspot.com/blob/get?uid=5741055184207872&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,,978-84-10350-53-3,,Pendiente,,
The Ghost in the Shell,Masamune Shirow,OVNI Press,01.03.2023,https://mementoserver-hrd.appspot.com/blob/get?uid=5632472673157120&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Manga,978-987-819-130-0,,Leyendo,,
Dungeon Meshi #01,Ryoko Kui,Ivrea Argentina,01.05.2025,https://mementoserver-hrd.appspot.com/blob/get?uid=6374365157654528&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Manga,979-13-87784-10-2,,Completado,,
Carretera maldita,Stephen King,Sudamericana,30.01.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=4798795059822592&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5056-1,,Completado,,
Carrie,Stephen King,Sudamericana,01.08.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=5163958850027520&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5088-2,,Completado,,
Cementerio de animales,Stephen King,Sudamericana,01.12.2014,https://mementoserver-hrd.appspot.com/blob/get?uid=4614335676809216&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5052-3,,Leyendo,,
Christine,Stephen King,Sudamericana,01.01.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=5789702198394880&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5062-2,,Completado,,
Colorado Kid,Stephen King,Sudamericana,27.03.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=5578702132084736&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5065-3,,Completado,,
Dolores Claiborne,Stephen King,Sudamericana,01.05.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=4607727836069888&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5076-9,,Pendiente,,
Duma Key #1,Stephen King,Sudamericana,01.01.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=5336420208345088&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5082-0,,Pendiente,,
Duma Key #2,Stephen King,Sudamericana,01.01.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=5336420208345088&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5083-7,,Pendiente,,
El cazador de sueños #1,Stephen King,Sudamericana,01.06.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=5815208465661952&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5085-1,,Pendiente,,
El cazador de sueños #2,Stephen King,Sudamericana,01.06.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=5815208465661952&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5086-8,,Pendiente,,
El juego de Gerald,Stephen King,Sudamericana,20.03.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=4520928241516544&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5064-6,,Completado,,
El retrato de Rose Madder,Stephen King,Sudamericana,01.01.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=4657841749360640&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5078-3,,Pendiente,,
La chica que amaba a Tom Gordon,Stephen King,Sudamericana,01.05.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=4868947981893632&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5077-6,,Completado,,
La historia de Lisey #1,Stephen King,Sudamericana,01.01.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=5803748687609856&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5079-0,,Pendiente,,
La historia de Lisey #2,Stephen King,Sudamericana,01.05.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=5803748687609856&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5080-6,,Pendiente,,
La larga marcha,Stephen King,Sudamericana,01.01.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=6241135674785792&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5066-0,,Completado,,
La milla verde,Stephen King,Sudamericana,01.09.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=6348443620737024&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5330-2,,En pausa,,
La niebla,Stephen King,Sudamericana,13.02.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=5481783376478208&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5058-5,,Completado,,
La tormenta del siglo,Stephen King,Sudamericana,15.05.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=4620118917382144&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5071-4,,Pendiente,,
Maleficio,Stephen King,Sudamericana,01.01.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=4611837046030336&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5067-7,,Pendiente,,
Un saco de huesos #1,Stephen King,Sudamericana,29.05.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=6605785377538048&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5073-8,,Pendiente,,
Un saco de huesos #2,Stephen King,Sudamericana,05.06.2015,https://mementoserver-hrd.appspot.com/blob/get?uid=6605785377538048&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Novela,978-950-07-5074-5,,Pendiente,,
Girls' Last Tour #01,Tsukumizu,Ivrea Argentina,01.08.2025,https://mementoserver-hrd.appspot.com/blob/get?uid=5313339423195136&lib=base64Knl6O1lnYUxLZzNCRWhJVTJmNHQ%3D,Manga,979-13-87836-29-0,,Completado,,
